CODE;DESCRIP;SUPNO;DEPT;TAXIND;CPRICE;AVECOST;SPRICE;SPRICE1;SPRICE2;MUP;MUP1;MUP2;REORD;QOH;QSOLDM;QSOLDY;VSOLDM;VSOLDY;GPM;GPY;QTYBYSTOCK;SCOUNTFLAG;CLOSTOCK;DATELSOLD;DATELPURCH;LASTSUP;SPECSTDATE;SPECENDATE;SPPRICE1;SPPRICE2;SPPRICE3;BFWDQTY;BFWDVAL;QTYSORD;QTYPORD;QTYPURCHM;QTYPURCHY;NEWPR;NEWPR1;NEWPR2;NEWPRDATE;SELLQTY;SUPCODE;MAXDISC;WEIGHT;ALLOWNEGSL;BIN;JCBFWDVAL;LBBFWDVAL;RFBFWDVAL;PACK;KVI
153-826M;153-826M MAZDA/FORD LDV 87-;162;12;1;197.95;155.0;661.15;661.15;155.0;234.0;234.0;-21.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;310.0;155.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;153-826M;0.0;0.0;Y;0;0.0;0.0;0.0;;
154-620M;154-620M FORD FIESTA 97-;162;12;1;171.2;166.0;571.81;571.81;166.0;234.0;234.0;-3.04;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;332.0;166.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;154-620M;0.0;0.0;Y;0;0.0;0.0;0.0;;
154-622M;154-622M FORD FIESTA 97-;162;12;1;224.7;245.0;750.5;750.5;245.0;234.0;234.0;9.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;490.0;245.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;154-622M;0.0;0.0;Y;0;0.0;0.0;0.0;;
154-828M;154-828M FORD SAPPHIRE 83-93;162;12;1;203.3;178.0;679.02;679.02;178.0;234.0;234.0;-12.44;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;356.0;178.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;154-828M;0.0;0.0;Y;0;0.0;0.0;0.0;;
163-116M;163-116M HONDA BALLADE 92-;162;12;1;149.8;213.0;500.33;500.33;213.0;234.0;234.0;42.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;426.0;213.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;163-116M;0.0;0.0;Y;0;0.0;0.0;0.0;;
166-034M;166-034M ISUZU 2.3KB 87-94;162;12;1;190.46;186.0;636.14;636.14;186.0;234.0;234.0;-2.34;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;372.0;186.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;166-034M;0.0;0.0;Y;0;0.0;0.0;0.0;;
171-292M;171-292M MAZDA 626 83-89;162;12;1;203.3;213.0;679.02;679.02;213.0;234.0;234.0;4.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;426.0;213.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;171-292M;0.0;0.0;Y;0;0.0;0.0;0.0;;
172-294M;172-294M MAZDA/FORD LDV 86-;162;12;1;288.9;263.0;964.93;964.93;263.0;234.0;234.0;-8.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;526.0;263.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;172-294M;0.0;0.0;Y;0;0.0;0.0;0.0;;
175-913M;175-913M MERCEDES W124 86-92;162;12;1;288.9;330.0;964.93;964.93;330.0;234.0;234.0;14.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;660.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;175-913M;0.0;0.0;Y;0;0.0;0.0;0.0;;
185-574M;185-574M OPEL T-CAR 85-;162;12;1;149.8;164.0;500.33;500.33;164.0;234.0;234.0;9.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;328.0;164.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;185-574M;0.0;0.0;Y;0;0.0;0.0;0.0;;
185-604M;185-604M OPEL MONZA 86-;162;12;1;171.2;163.0;571.81;571.81;163.0;234.0;234.0;-4.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0;;;0;1960/01/01;1960/01/01;326.0;163.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0;185-604M;0.0;0.0;Y;0;0.0;0.0;0.0;;
